source,target,type,weight
i3,chimp,edge,1.5e-8
H2,denisovan,edge,4.446635610853052e-15
i4,H2,admix,0.48
i5,H2,admix,0.52
Ne0,neanderthal_west,edge,3.242317598563866e-16
Ne0,neanderthal_east,edge,3.3629957872099646e-15
i1,Ne0,edge,1.6945925914379375e-13
NeAMH,i1,edge,6.119164901119645e-14
na0,non_africa_west,edge,7.565791206099489e-17
na0,non_africa_east,edge,2.5999708484822424e-15
a0,na0,edge,3.791412852062529e-14
a0,africa_east,edge,4.682169005861413e-17
AMH,a0,edge,2.229096178415509e-15
AMH,africa_west,edge,1.5836368424748292e-15
NeAMH,AMH,edge,5.502503075677109e-18
i2,NeAMH,edge,3.4414283146023024e-16
i3,i2,edge,1.1659439242321747e-13
i2,i4,edge,4.739204601709429e-14
i1,i5,edge,1.8931666120104334e-13
