source,target,type,weight
i4,chimp,edge,120.0
H2,denisovan,edge,0.16741257906671442
i5,H2,admix,0.48
i6,H2,admix,0.52
Ne0,neanderthal_west,edge,0.007743593305090632
Ne0,neanderthal_east,edge,0.08031807764428085
i1,Ne0,edge,0.7325352977286679
NeAMH,i1,edge,0.2645181092694905
na0,non_africa_west,edge,0.027641002685765442
na0,non_africa_east,edge,0.06692406692406692
a0,na0,edge,0.20818264936701067
a0,africa_east,edge,0.036791001105355554
AMH,a0,edge,0.08628946434905994
AMH,africa_west,edge,0.07087851642307087
H1,AMH,edge,0.012022268289721602
i7,H1,admix,0.6799999999999999
i2,NeAMH,edge,0.05199568250136372
i3,i2,edge,0.0780058733834077
i8,H1,admix,0.32
i4,i3,edge,2.8980064381318122
i2,i5,edge,0.6535386084258265
i1,i6,edge,0.5905484885788538
NeAMH,i7,edge,0.01932286771682578
i3,i8,edge,0.9895806534602521
