source,target,type,weight
i4,chimp,edge,120.0
i3,denisovan,edge,0.8209511874925408
Ne0,neanderthal_west,edge,0.007743593305090632
i1,neanderthal_east,edge,0.03889158969372873
i1,H3,admix,0.32
Ne0,i1,edge,0.04142648795055212
NeAMH,Ne0,edge,0.9970534069981584
i5,H4,admix,0.48
i6,H3,admix,0.6799999999999999
na0,non_africa_west,edge,0.027641002685765442
na0,non_africa_east,edge,0.06692406692406692
H4,na0,edge,0.03219589615689831
i7,H4,admix,0.52
a0,africa_east,edge,0.036791001105355554
AMH,a0,edge,0.08628946434905994
AMH,africa_west,edge,0.07087851642307087
i2,AMH,edge,0.01769501616609482
NeAMH,i2,edge,0.01365011984045256
i3,NeAMH,edge,0.05199568250136372
i4,i3,edge,2.9760123115152197
H3,i5,edge,0.054245283018867926
i2,i6,edge,2.233490566037736
a0,i7,edge,0.17598675321011237
