Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,Type,DOI,CitesPerYear,Age,FullTextURL
2885,"N Patterson, P Moorjani, Y Luo, S Mallick, N Rohland, ...",Ancient admixture in human history,2012,Genetics,academic.oup.com,https://academic.oup.com/genetics/article-abstract/192/3/1065/5935193,"https://scholar.google.com/scholar?cites=5359692700925436867&as_sdt=2005&sciodt=0,5&hl=en",,,221.92,13,https://academic.oup.com/genetics/article-pdf/192/3/1065/49442177/genetics1065.pdf
36,"NK Schaefer, B Shapiro, RE Green",Detecting hybridization using ancient DNA,2016,Molecular ecology,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13556,"https://scholar.google.com/scholar?cites=12979184074816317371&as_sdt=2005&sciodt=0,5&hl=en",,10.1111/mec.13556,4,9,https://onlinelibrary.wiley.com/doi/pdf/10.1111/mec.13556
1119,"I Lazaridis, D Nadel, G Rollefson, DC Merrett, ...",Genomic insights into the origin of farming in the ancient Near East,2016,Nature,nature.com,https://www.nature.com/articles/nature19310,"https://scholar.google.com/scholar?cites=6279483856800958407&as_sdt=2005&sciodt=0,5&hl=en",HTML,,122.22,9,https://www.nature.com/articles/nature19310
270,"MA Yang, X Gao, C Theunert, H Tong, A Aximu-Petri, ...","40,000-year-old individual from Asia provides insight into early population structure in Eurasia",2017,Current Biology,cell.com,https://www.cell.com/current-biology/fulltext/S0960-9822(17)31195-8,"https://scholar.google.com/scholar?cites=8860669112713192208&as_sdt=2005&sciodt=0,5&hl=en",HTML,,33.75,8,https://www.cell.com/current-biology/fulltext/S0960-9822(17)31195-8
83,"K Leppälä, SV Nielsen, T Mailund",admixturegraph: an R package for admixture graph manipulation and fitting,2017,Bioinformatics,academic.oup.com,https://academic.oup.com/bioinformatics/article-abstract/33/11/1738/2964728,"https://scholar.google.com/scholar?cites=13440624066723650593&as_sdt=2005&sciodt=0,5&hl=en",,,10.38,8,https://academic.oup.com/bioinformatics/article/33/11/1738/2964728
198,"TC Lamnidis, K Majander, C Jeong, E Salmela, ...",Ancient Fennoscandian genomes reveal origin and spread of Siberian ancestry in Europe,2018,Nature …,nature.com,https://www.nature.com/articles/s41467-018-07483-5,"https://scholar.google.com/scholar?cites=5828325637652733992&as_sdt=2005&sciodt=0,5&hl=en",HTML,,28.29,7,https://www.nature.com/articles/s41467-018-07483-5
8,"H McColl, F Racimo, L Vinner, F Demeter, JVM Mayar, ...",Ancient genomics reveals four prehistoric migration waves into Southeast Asia,2018,bioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/278374V1.full,"https://scholar.google.com/scholar?cites=17567353513352220639&as_sdt=2005&sciodt=0,5&hl=en",HTML,10.1101/278374V1.full,1.14,7,https://www.biorxiv.org/content/10.1101/278374V1.full
9,J Salojärvi,Computational tools for population genomics,2018,"Population genomics: concepts, approaches and …",Springer,https://link.springer.com/chapter/10.1007/13836_2018_57,"https://scholar.google.com/scholar?cites=1275051124899963093&as_sdt=2005&sciodt=0,5&hl=en",,10.1007/13836_2018_57,1.29,7,
153,"K Tambets, B Yunusbayev, G Hudjashov, AM Ilumäe, ...",Genes reveal traces of common recent demographic history for most of the Uralic-speaking populations,2018,Genome biology,Springer,https://link.springer.com/article/10.1186/s13059-018-1522-1,"https://scholar.google.com/scholar?cites=16254794625358504327&as_sdt=2005&sciodt=0,5&hl=en",HTML,10.1186/s13059-018-1522-1,21.86,7,https://link.springer.com/article/10.1186/s13059-018-1522-1
170,"S Gopalakrishnan, MHS Sinding, J Ramos-Madrigal, ...",Interspecific gene flow shaped the evolution of the genus Canis,2018,Current Biology,cell.com,https://www.cell.com/current-biology/fulltext/S0960-9822(18)31125-4,"https://scholar.google.com/scholar?cites=4762562819466587907&as_sdt=2005&sciodt=0,5&hl=en",HTML,,24.29,7,https://www.cell.com/current-biology/fulltext/S0960-9822(18)31125-4
129,"H Schroeder, M Sikora, S Gopalakrishnan, ...",Origins and genetic legacies of the Caribbean Taino,2018,Proceedings of the …,pnas.org,https://www.pnas.org/doi/abs/10.1073/pnas.1716839115,"https://scholar.google.com/scholar?cites=10643458798699202932&as_sdt=2005&sciodt=0,5&hl=en",,10.1073/pnas.1716839115,18.43,7,https://www.pnas.org/doi/full/10.1073/pnas.1716839115
52,"I Lazaridis, A Belfer-Cohen, S Mallick, N Patterson, ...",Paleolithic DNA from the Caucasus reveals core of West Eurasian ancestry,2018,BioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/423079.abstract,"https://scholar.google.com/scholar?cites=47101407121516715&as_sdt=2005&sciodt=0,5&hl=en",,10.1101/423079.abstract,7.43,7,https://www.biorxiv.org/content/10.1101/423079.full.pdf
75,"MHS Sinding, S Gopalakrishan, FG Vieira, ...",Population genomics of grey wolves and wolf-like canids in North America,2018,PLoS …,journals.plos.org,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007745,"https://scholar.google.com/scholar?cites=9338492489521048928&as_sdt=2005&sciodt=0,5&hl=en",HTML,,10.71,7,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007745
165,"M Lipson, P Skoglund, M Spriggs, F Valentin, ...",Population turnover in remote Oceania shortly after initial settlement,2018,Current biology,cell.com,https://www.cell.com/current-biology/fulltext/S0960-9822(18)30236-7,"https://scholar.google.com/scholar?cites=2233796750068899040&as_sdt=2005&sciodt=0,5&hl=en",HTML,,23.57,7,https://www.cell.com/current-biology/fulltext/S0960-9822(18)30236-7
391,"C Posth, N Nakatsuka, I Lazaridis, P Skoglund, ...",Reconstructing the deep population history of Central and South America,2018,Cell,cell.com,https://www.cell.com/cell/fulltext/S0092-8674(18)31380-1,"https://scholar.google.com/scholar?cites=11798177666234467957&as_sdt=2005&sciodt=0,5&hl=en",HTML,,55.86,7,https://www.cell.com/cell/fulltext/S0092-8674(18)31380-1
13,"Z Bánfai, V Ádám, E Pöstyéni, G Büki, M Czakó, ...",Revealing the impact of the Caucasus region on the genetic legacy of Romani people from genome-wide data,2018,PloS one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0202890,"https://scholar.google.com/scholar?cites=15242821957481987066&as_sdt=2005&sciodt=0,5&hl=en",HTML,,1.86,7,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0202890
411,"JV Moreno-Mayar, BA Potter, L Vinner, M Steinrücken, ...",Terminal Pleistocene Alaskan genome reveals first founding population of Native Americans,2018,Nature,nature.com,https://www.nature.com/articles/nature25173,"https://scholar.google.com/scholar?cites=6663118320756819606&as_sdt=2005&sciodt=0,5&hl=en",HTML,,58.71,7,https://www.nature.com/articles/nature25173
992,"I Olalde, S Brace, ME Allentoft, I Armit, K Kristiansen, ...",The Beaker phenomenon and the genomic transformation of northwest Europe,2018,Nature,nature.com,https://www.nature.com/articles/nature25738,"https://scholar.google.com/scholar?cites=9893916478149766963&as_sdt=2005&sciodt=0,5&hl=en",HTML,,141.71,7,https://www.nature.com/articles/nature25738
923,"I Mathieson, S Alpaslan-Roodenberg, C Posth, ...",The genomic history of southeastern Europe,2018,Nature,nature.com,https://www.nature.com/articles/nature25778,"https://scholar.google.com/scholar?cites=2486745215249836705&as_sdt=2005&sciodt=0,5&hl=en",HTML,,131.86,7,https://www.nature.com/articles/nature25778
137,"V Shinde, VM Narasimhan, N Rohland, S Mallick, ...",An ancient Harappan genome lacks ancestry from steppe pastoralists or Iranian farmers,2019,Cell,cell.com,https://www.cell.com/cell/fulltext/S0092-8674(19)30967-5?fbclid=IwAR3nDVuNw3V8cWyoD2-i6AtXqgAzkdmfiACbXpt_9poIs6euT-ZvkQeHNgE,"https://scholar.google.com/scholar?cites=7298767279120150941&as_sdt=2005&sciodt=0,5&hl=en",HTML,,22.83,6,https://www.cell.com/cell/fulltext/S0092-8674(19)30967-5?fbclid=IwAR3nDVuNw3V8cWyoD2-i6AtXqgAzkdmfiACbXpt_9poIs6euT-ZvkQeHNgE
26,"B Yelmen, M Mondal, D Marnetto, ...",Ancestry-specific analyses reveal differential demographic histories and opposite selective pressures in modern South Asian populations,2019,Molecular biology …,academic.oup.com,https://academic.oup.com/mbe/article-abstract/36/8/1628/5364274,"https://scholar.google.com/scholar?cites=14296513662266991076&as_sdt=2005&sciodt=0,5&hl=en",,,4.33,6,https://academic.oup.com/mbe/article-pdf/36/8/1628/29001142/msz037.pdf
359,"S Brace, Y Diekmann, TJ Booth, L van Dorp, ...",Ancient genomes indicate population replacement in Early Neolithic Britain,2019,Nature ecology & …,nature.com,https://www.nature.com/articles/s41559-019-0871-9,"https://scholar.google.com/scholar?cites=1654077513454810216&as_sdt=2005&sciodt=0,5&hl=en",HTML,,59.83,6,https://www.nature.com/articles/s41559-019-0871-9
