"newick","score","hash","truenet","net_hwdist","tree_hwdist","scorediff","h_search","h_est","ndisplayed","irep","irun","lindist","nind","nbiallelic","mutrate","net","paramid"
"(chimp:0.17156666835774312,(((((neanderthal_west:0.0445521739644825,(neanderthal_east:0.032536750327686395,#H3:0.0::0.014286489758231288):0.013788991634427542):0.030085280988285768,#H2:0.0::0.35789342674461455):0.03533012749583156,((((africa_east:0.056032355939729335,#H4:0.0::0.10164160222471356):0.055650861532810875,africa_west:0.11179667954981827):0.001319567337048223)#H1:0.0::1.0,(((non_africa_west:0.08915887477631634,non_africa_east:0.0902813635453149):0.022021201941902508)#H3:0.0::0.9857135102417687)#H4:0.0::0.8983583977752865):0.001044253979068716):0.0028021332586022746,(denisovan:0.11065388688558811)#H2:0.0::0.6421065732553854):0.17156666835756174,#H1:0.0::0.0):0.1715666683571491);",8.14989936975662,"b6846e5befa755dba55317b77eeb409d",FALSE,0,0,0.0178223358958025,4,4,2,54,10,0,1,1e+05,1.25e-07,"fleg","1-0-1e+05-1.25e-07-fleg"
"(chimp:0.23121034345657587,((#H2:0.0::0.48536480751046485,(((denisovan:0.10674337387619003)#H2:0.0::0.5146351924895352,((#H1:0.0::0.04845374640549564,neanderthal_east:0.04597865606231439):0.00575485079229169,neanderthal_west:0.048348725295659416):0.04315231232635081):0.0231949539818191,(((africa_east:0.05931601392392644,#H4:0.0::0.11203105070757435):0.06776732837960325,africa_west:0.11215437325996358):0.003596381536712713)#H3:0.0::0.8288278910983297):0.0025535960922538647):4.6612501367619845e-5,(#H3:0.0::0.17117210890167034,(((non_africa_east:0.09406803949974668,non_africa_west:0.10747931350620887):0.005614139617231302)#H1:0.0::0.9515462535945044)#H4:0.0::0.8879689492924256):0.029920712024198153):0.23121034345641786);",11.5770546582363,"45b2500573a9a8ba3388b42f1e557cd9",FALSE,0,0,1.52932134423561,4,4,2,27,26,0.15,1,1e+05,1.25e-07,"fleg","1-0.15-1e+05-1.25e-07-fleg"
"(chimp:0.1460831974379054,(((#H1:0.0::0.3743404518643584)#H2:0.0::0.9097068468896802,#H3:0.0::0.14486163298708832):0.008645549508240397,((((africa_west:0.004399745136206293,(africa_east:0.0017647603920989455,((non_africa_west:0.0014043560592032717,non_africa_east:0.0035195528481339346):0.010501633527401884)#H1:0.0::0.6256595481356416):0.005647033983884106):0.0015075173214135688)#H3:0.0::0.8551383670129117,((neanderthal_west:0.0003360613080411227,(neanderthal_east:0.0010613538299351353,#H2:0.0::0.09029315311031982):0.001090434432637244):0.0001601861577540518,#H4:0.0::0.19766151253732755):0.03806101544337498):0.0016219879313876242,(denisovan:0.022102932119003216)#H4:0.0::0.8023384874626724):0.0):0.14608319743790282);",10.1892459313962,"0e723a46c701065642e3e001d0f16ea8",FALSE,0,0,0.95439701253534,4,4,2,46,30,0,10,1e+05,1.25e-07,"fleg","10-0-1e+05-1.25e-07-fleg"
"(chimp:0.07381564964958252,((((((africa_west:0.004384871917561818,(africa_east:0.0016919134150069274,(((non_africa_west:0.0013605334825184262,non_africa_east:0.0033613423228778163):0.011548043579937448)#H4:0.0::0.9737797729510197)#H3:0.0::0.6431859829489259):0.0054536530370199844):0.001400903169984021)#H1:0.0::1.0,#H3:0.0::0.3568140170510741):0.00043973220057732284,((neanderthal_west:0.0002701596349052782,(neanderthal_east:0.0,#H4:0.0::0.026220227048980305):0.002061395580220897):0.03056234612936247,(denisovan:0.016905830228834202)#H2:0.0::0.9881882305646642):0.007667055507808465):0.07324365422707764,#H2:0.0::0.011811769435335809):0.07381564965077551,#H1:0.0::0.0):0.0738156496507745);",8.08549503789756,"b6846e5befa755dba55317b77eeb409d",FALSE,0,2,1.17382710521443,4,4,2,57,14,0,10,1e+05,1.25e-07,"fleg","10-0-1e+05-1.25e-07-fleg"
"(chimp:0.14629375131400485,((((#H4:0.0::0.31866503546018676,(#H3:0.0::0.33448077514707664)#H1:0.0::0.9728612086873754):0.0009878844800956397,(((#H1:0.0::0.027138791312624644,neanderthal_east:0.000776003051299316):0.001452531030485642,neanderthal_west:0.00014476738718692043):0.01582573277251026,#H2:0.0::0.34412592928444186):0.020554232292726817):0.0028707782564601405,((africa_west:0.0044884467831042465,(((non_africa_west:0.0015764853158466866,non_africa_east:0.0032283799647959766):0.010761264412602977)#H3:0.0::0.6655192248529234,africa_east:0.0020910200592404804):0.005506548485151625):0.001765180761896592)#H4:0.0::0.6813349645398132):0.000886467171688491,(denisovan:0.021057797670347368)#H2:0.0::0.6558740707155581):0.14629375131400554);",9.78206956140278,"40e4366dd88fff3c6924481f8e2fdfb0",FALSE,0,0,0.993514480828772,4,4,2,72,24,0,10,1e+05,1.25e-07,"fleg","10-0-1e+05-1.25e-07-fleg"
"(chimp:0.06701612702255755,((#H2:0.0::0.016031936969692327,(((#H3:0.0::0.35196732215266674,(africa_west:0.005070809454326528,(africa_east:0.001928199024501694,(((non_africa_east:0.003955121230076775,non_africa_west:0.0017712587597325763):0.012973174834106992)#H4:0.0::0.9746292155099416)#H3:0.0::0.6480326778473333):0.006587423090719604):0.0014891093677206128):0.0007878969489883595)#H1:0.0::1.0,(((neanderthal_east:0.0,#H4:0.0::0.025370784490058362):0.0023008190345703986,neanderthal_west:0.00031922081680041826):0.03606513117025655,(denisovan:0.019348860998988828)#H2:0.0::0.9839680630303077):0.008482714122259446):0.06631073361102545):0.06701612702249791,#H1:0.0::0.0):0.06701612702255612);",12.2936031452396,"f166bd1b16f579d611891ac8582d0169",FALSE,0,2,1.76895264989301,4,4,2,25,50,0.15,10,1e+05,1.25e-07,"fleg","10-0.15-1e+05-1.25e-07-fleg"
"(chimp:0.13942240456167876,((((((#H1:0.0::0.08192567266773816,neanderthal_east:0.0010000115157683064):0.0009965277023110699,neanderthal_west:8.334725622055373e-5):0.009386934147621095,#H3:0.0::0.3032855493622618):0.025866762066314598,((africa_west:0.004174726193758491,((((non_africa_east:0.003061348682592709,non_africa_west:0.001421308374483434):0.008653178581416782)#H2:0.0::0.5406160480767108)#H1:0.0::0.9180743273322618,africa_east:0.0):0.007220486682582869):0.0010442339638097081)#H4:0.0::0.9073120299144023):0.0021425387195269786,(denisovan:0.02008077180932698)#H3:0.0::0.6967144506377382):1.4298300109554545e-6,(#H2:0.0::0.4593839519232892,#H4:0.0::0.0926879700855977):0.014703271995114647):0.13942240456167876);",6.25883891546331,"8adeeeedc12be1960f49485bbe86099c",FALSE,0,0,1.31496070551826,4,4,2,33,28,0.15,10,1e+05,1.25e-07,"fleg","10-0.15-1e+05-1.25e-07-fleg"
"(chimp:0.11092225142348197,((((((africa_west:0.004079103918650563,(africa_east:0.0016445820289579627,((non_africa_east:0.003341016008284881,non_africa_west:0.0014694185249328536):0.011338964031543688)#H4:0.0::0.6268318949250338):0.005473409856285504):0.0013107372150755509,(#H4:0.0::0.3731681050749663)#H3:0.0::0.9091005324182504):0.000779432514928005)#H1:0.0::1.0,((neanderthal_west:0.000324123245998497,(neanderthal_east:0.0018497527839282247,#H3:0.0::0.0908994675817496):0.0002924678888127808):0.015632456966476256,#H2:0.0::0.3206737859158447):0.024295920149974722):0.0012446455053852234,(denisovan:0.02164872547240606)#H2:0.0::0.6793262140841553):0.11092225142348815,#H1:0.0::0.0):0.11092225142348665);",3.04123932119907,"2c16359561e270a92b6a767565c62ec3",FALSE,0,0,0.611331143113616,4,4,2,70,43,0.15,10,1e+05,1.25e-07,"fleg","10-0.15-1e+05-1.25e-07-fleg"
"(((#H1:0.0::0.012581674738831785,((((africa_west:0.004390868012600873,(africa_east:0.0032715729867184035,(((non_africa_west:0.0015002139748582404,non_africa_east:0.00310589270830014):0.01043840237109426)#H4:0.0::0.9817808272313531)#H3:0.0::0.8462109731374534):0.0037945977739218197):0.003992444766627259)#H2:0.0::0.9847522879537328,#H3:0.0::0.15378902686254653):3.352073182332104e-5,((neanderthal_west:0.0003225988064195169,(neanderthal_east:0.0,#H4:0.0::0.01821917276864693):0.001972534115689787):0.029918236536673193,(denisovan:0.01598609973715874)#H1:0.0::0.9874183252611682):0.004949994881007943):0.08120383394587283):0.08161843223626658,#H2:0.0::0.015247712046267164):0.08278633858372517,chimp:0.08278633858372024);",5.51000591309449,"b6846e5befa755dba55317b77eeb409d",FALSE,0,2,2.33667275298068,4,4,2,30,9,0.3,10,1e+05,1.25e-07,"fleg","10-0.3-1e+05-1.25e-07-fleg"
"(chimp:0.1355166964504063,((#H2:0.0::0.09073820437235296,(#H1:0.0::0.3780199725625829)#H3:0.0::0.9326063201489776):0.008280102224442852,((((africa_west:0.004435498584817758,(((non_africa_west:0.0016324766574805029,non_africa_east:0.00357283760565746):0.01181110457957606)#H1:0.0::0.6219800274374171,africa_east:0.0014676378838973409):0.006759269494623847):0.0018470266737307753)#H2:0.0::0.9092617956276471,((neanderthal_west:0.000366477280082401,(neanderthal_east:0.00036054551882658926,#H3:0.0::0.0673936798510224):0.0017596755122213927):0.00017011027747528985,#H4:0.0::0.20295699889229524):0.03981107192407023):0.0007393076107841036,(denisovan:0.022424739369461974)#H4:0.0::0.7970430011077048):0.0):0.1355166964504042);",8.20108571652091,"0e723a46c701065642e3e001d0f16ea8",FALSE,0,0,-1.08931910827938,4,4,2,79,1,0.3,10,1e+05,1.25e-07,"fleg","10-0.3-1e+05-1.25e-07-fleg"
