"paramid","lindist","nind","net","mutrate","nbiallelic","prop_whsearch1","median_ngraphs_h1_before","median_ngraphs_h1_after","median_ngraphs_h2_before","median_ngraphs_h2_after","type1"
"1-0-10000-1.25e-07-fleg-pruned",0,1,"fleg-pruned",1.25e-07,10000,0.98,154,141,2167,2133,0.02
"1-0-10000-1.25e-08-fleg-pruned",0,1,"fleg-pruned",1.25e-08,10000,1,147.5,139,2186,2156,0
"1-0-1e+05-1.25e-07-fleg-pruned",0,1,"fleg-pruned",1.25e-07,1e+05,0.94,14.5,10,696.5,674.5,0.0600000000000001
"1-0-1e+05-1.25e-08-fleg-pruned",0,1,"fleg-pruned",1.25e-08,1e+05,0.919191919191919,11,9,668,659,0.0808080808080808
"1-0.15-10000-1.25e-07-fleg-pruned",0.15,1,"fleg-pruned",1.25e-07,10000,1,162.5,143,2344.5,2343.5,0
"1-0.15-10000-1.25e-08-fleg-pruned",0.15,1,"fleg-pruned",1.25e-08,10000,0.98,141,136,2005.5,1955,0.02
"1-0.15-1e+05-1.25e-07-fleg-pruned",0.15,1,"fleg-pruned",1.25e-07,1e+05,0.84,13.5,9,665,633,0.16
"1-0.15-1e+05-1.25e-08-fleg-pruned",0.15,1,"fleg-pruned",1.25e-08,1e+05,0.94949494949495,11,9,665,663,0.0505050505050505
"1-0.3-10000-1.25e-07-fleg-pruned",0.3,1,"fleg-pruned",1.25e-07,10000,0.98,161,144.5,2260,2257.5,0.02
"1-0.3-10000-1.25e-08-fleg-pruned",0.3,1,"fleg-pruned",1.25e-08,10000,1,144.5,136.5,2136.5,2002,0
"1-0.3-1e+05-1.25e-07-fleg-pruned",0.3,1,"fleg-pruned",1.25e-07,1e+05,0.673684210526316,12,9,542,300,0.326315789473684
"1-0.3-1e+05-1.25e-08-fleg-pruned",0.3,1,"fleg-pruned",1.25e-08,1e+05,0.94,11,9.5,684.5,672.5,0.0600000000000001
"1-0.5-10000-1.25e-07-fleg-pruned",0.5,1,"fleg-pruned",1.25e-07,10000,0.96,140,131.5,1672,1641.5,0.04
"1-0.5-10000-1.25e-08-fleg-pruned",0.5,1,"fleg-pruned",1.25e-08,10000,0.98,142,132.5,1989.5,1856,0.02
"1-0.5-1e+05-1.25e-07-fleg-pruned",0.5,1,"fleg-pruned",1.25e-07,1e+05,0.626506024096386,11,4,397,198,0.373493975903614
"1-0.5-1e+05-1.25e-08-fleg-pruned",0.5,1,"fleg-pruned",1.25e-08,1e+05,0.85,12,11,665,650,0.15
"1-0.7-10000-1.25e-07-fleg-pruned",0.7,1,"fleg-pruned",1.25e-07,10000,0.94,134.5,125,1581.5,1469.5,0.0600000000000001
"1-0.7-10000-1.25e-08-fleg-pruned",0.7,1,"fleg-pruned",1.25e-08,10000,0.99,141.5,135,2187,2172.5,0.01
"1-0.7-1e+05-1.25e-07-fleg-pruned",0.7,1,"fleg-pruned",1.25e-07,1e+05,0.52112676056338,9,1,153,134,0.47887323943662
"1-0.7-1e+05-1.25e-08-fleg-pruned",0.7,1,"fleg-pruned",1.25e-08,1e+05,0.828282828282828,13,9,681,676,0.171717171717172
"10-0-10000-1.25e-07-fleg-pruned",0,10,"fleg-pruned",1.25e-07,10000,1,129.5,128,2236,2217.5,0
"10-0-10000-1.25e-08-fleg-pruned",0,10,"fleg-pruned",1.25e-08,10000,1,129,126,2085.5,2051.5,0
"10-0-1e+05-1.25e-07-fleg-pruned",0,10,"fleg-pruned",1.25e-07,1e+05,0.96,9,9,693,677.5,0.04
"10-0-1e+05-1.25e-08-fleg-pruned",0,10,"fleg-pruned",1.25e-08,1e+05,0.94,9,9,668.5,665.5,0.0600000000000001
"10-0.15-10000-1.25e-07-fleg-pruned",0.15,10,"fleg-pruned",1.25e-07,10000,0.99,130,128,2222,2222,0.01
"10-0.15-10000-1.25e-08-fleg-pruned",0.15,10,"fleg-pruned",1.25e-08,10000,0.98,127.5,126,2197.5,2181.5,0.02
"10-0.15-1e+05-1.25e-07-fleg-pruned",0.15,10,"fleg-pruned",1.25e-07,1e+05,0.89,9,9,641,633,0.11
"10-0.15-1e+05-1.25e-08-fleg-pruned",0.15,10,"fleg-pruned",1.25e-08,1e+05,0.94949494949495,9,9,676,676,0.0505050505050505
"10-0.3-10000-1.25e-07-fleg-pruned",0.3,10,"fleg-pruned",1.25e-07,10000,0.99,129.5,127,2040,1998.5,0.01
"10-0.3-10000-1.25e-08-fleg-pruned",0.3,10,"fleg-pruned",1.25e-08,10000,1,130,128,2232,2224,0
"10-0.3-1e+05-1.25e-07-fleg-pruned",0.3,10,"fleg-pruned",1.25e-07,1e+05,0.726315789473684,10,9,609,597,0.273684210526316
"10-0.3-1e+05-1.25e-08-fleg-pruned",0.3,10,"fleg-pruned",1.25e-08,1e+05,0.89,9,9,672,657.5,0.11
"10-0.5-10000-1.25e-07-fleg-pruned",0.5,10,"fleg-pruned",1.25e-07,10000,1,127.5,126.5,2090.5,2073,0
"10-0.5-10000-1.25e-08-fleg-pruned",0.5,10,"fleg-pruned",1.25e-08,10000,0.99,129,128,2235,2212.5,0.01
"10-0.5-1e+05-1.25e-07-fleg-pruned",0.5,10,"fleg-pruned",1.25e-07,1e+05,0.573033707865168,9,3,556,296,0.426966292134832
"10-0.5-1e+05-1.25e-08-fleg-pruned",0.5,10,"fleg-pruned",1.25e-08,1e+05,0.88,9,9,654,632.5,0.12
"10-0.7-10000-1.25e-07-fleg-pruned",0.7,10,"fleg-pruned",1.25e-07,10000,0.97,127,123,1802,1729,0.03
"10-0.7-10000-1.25e-08-fleg-pruned",0.7,10,"fleg-pruned",1.25e-08,10000,0.99,129.5,127,2085.5,2077,0.01
"10-0.7-1e+05-1.25e-07-fleg-pruned",0.7,10,"fleg-pruned",1.25e-07,1e+05,0.518518518518518,9,1,296,178,0.481481481481482
"10-0.7-1e+05-1.25e-08-fleg-pruned",0.7,10,"fleg-pruned",1.25e-08,1e+05,0.94949494949495,9,9,646,627,0.0505050505050505
"2-0-10000-1.25e-07-fleg-pruned",0,2,"fleg-pruned",1.25e-07,10000,0.97,142.5,132.5,2294,2257,0.03
"2-0-10000-1.25e-08-fleg-pruned",0,2,"fleg-pruned",1.25e-08,10000,0.98,134,131.5,2196,2171,0.02
"2-0-1e+05-1.25e-07-fleg-pruned",0,2,"fleg-pruned",1.25e-07,1e+05,0.908163265306122,11,9,643.5,631,0.0918367346938775
"2-0-1e+05-1.25e-08-fleg-pruned",0,2,"fleg-pruned",1.25e-08,1e+05,0.96,9.5,9,652.5,646.5,0.04
"2-0.15-10000-1.25e-07-fleg-pruned",0.15,2,"fleg-pruned",1.25e-07,10000,0.98,137.5,131.5,2164,2121.5,0.02
"2-0.15-10000-1.25e-08-fleg-pruned",0.15,2,"fleg-pruned",1.25e-08,10000,1,131,127,1966,1952.5,0
"2-0.15-1e+05-1.25e-07-fleg-pruned",0.15,2,"fleg-pruned",1.25e-07,1e+05,0.848484848484849,11,9,664,639,0.151515151515151
"2-0.15-1e+05-1.25e-08-fleg-pruned",0.15,2,"fleg-pruned",1.25e-08,1e+05,0.94,9,9,664,652,0.0600000000000001
"2-0.3-10000-1.25e-07-fleg-pruned",0.3,2,"fleg-pruned",1.25e-07,10000,0.99,136.5,130,2058,2030.5,0.01
"2-0.3-10000-1.25e-08-fleg-pruned",0.3,2,"fleg-pruned",1.25e-08,10000,0.98,133.5,130,2222.5,2181.5,0.02
"2-0.3-1e+05-1.25e-07-fleg-pruned",0.3,2,"fleg-pruned",1.25e-07,1e+05,0.711111111111111,10,9,648.5,600,0.288888888888889
"2-0.3-1e+05-1.25e-08-fleg-pruned",0.3,2,"fleg-pruned",1.25e-08,1e+05,0.89,9,9,649,640.5,0.11
"2-0.5-10000-1.25e-07-fleg-pruned",0.5,2,"fleg-pruned",1.25e-07,10000,0.94,133.5,127.5,1820,1706.5,0.0600000000000001
