"irep","paramid","h_search","lindist","nind","net","mutrate","nbiallelic","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
1,"1-0-10000-1.25e-07-fleg",0,0,1,"fleg",1.25e-07,10000,5,12,FALSE,2,1,0.2,-5.20438949362281
1,"1-0-10000-1.25e-07-fleg",1,0,1,"fleg",1.25e-07,10000,321,6,FALSE,0,2,0.355140186915888,0.0669010434301942
1,"1-0-10000-1.25e-07-fleg",4,0,1,"fleg",1.25e-07,10000,5771,6,FALSE,0,2,0.658464737480506,10.1917890659494
1,"1-0-10000-1.25e-08-fleg",0,0,1,"fleg",1.25e-08,10000,5,12,FALSE,2,1,0.2,-6.19952014971309
1,"1-0-10000-1.25e-08-fleg",1,0,1,"fleg",1.25e-08,10000,384,6,FALSE,0,2,0.299479166666667,-0.419899830909031
1,"1-0-10000-1.25e-08-fleg",4,0,1,"fleg",1.25e-08,10000,9298,6,FALSE,0,2,0.45719509571951,7.7390453915018
1,"1-0-1e+05-1.25e-07-fleg",0,0,1,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-20.556774613845
1,"1-0-1e+05-1.25e-07-fleg",1,0,1,"fleg",1.25e-07,1e+05,20,6,FALSE,0,2,1.1,-4.30516220971508
1,"1-0-1e+05-1.25e-07-fleg",4,0,1,"fleg",1.25e-07,1e+05,1744,4,FALSE,0,2,0.740825688073395,12.7487433552942
1,"1-0-1e+05-1.25e-08-fleg",0,0,1,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-54.6239204812071
1,"1-0-1e+05-1.25e-08-fleg",1,0,1,"fleg",1.25e-08,1e+05,6,6,FALSE,2,1,1,-6.78452279433095
1,"1-0-1e+05-1.25e-08-fleg",4,0,1,"fleg",1.25e-08,1e+05,2389,4,FALSE,0,2,0.853913771452491,8.42983875665439
