"paramid","lindist","nind","net","mutrate","nbiallelic","prop_whsearch4","median_ngraphs_h4_before","median_ngraphs_h4_after","type1"
"1-0-10000-1.25e-07-fleg",0,1,"fleg",1.25e-07,10000,1,7379.5,7379.5,0
"1-0-10000-1.25e-08-fleg",0,1,"fleg",1.25e-08,10000,1,7652.5,7652.5,0
"1-0-1e+05-1.25e-07-fleg",0,1,"fleg",1.25e-07,1e+05,1,2824.5,2806.5,0
"1-0-1e+05-1.25e-08-fleg",0,1,"fleg",1.25e-08,1e+05,1,2643.5,2639.5,0
"1-0.15-10000-1.25e-07-fleg",0.15,1,"fleg",1.25e-07,10000,1,6515,6515,0
"1-0.15-10000-1.25e-08-fleg",0.15,1,"fleg",1.25e-08,10000,1,6996.5,6996,0
"1-0.15-1e+05-1.25e-07-fleg",0.15,1,"fleg",1.25e-07,1e+05,1,2677,2676.5,0
"1-0.15-1e+05-1.25e-08-fleg",0.15,1,"fleg",1.25e-08,1e+05,1,2713.5,2703,0
"1-0.3-10000-1.25e-07-fleg",0.3,1,"fleg",1.25e-07,10000,1,6680,6679.5,0
"1-0.3-10000-1.25e-08-fleg",0.3,1,"fleg",1.25e-08,10000,1,7052,7049,0
"1-0.3-1e+05-1.25e-07-fleg",0.3,1,"fleg",1.25e-07,1e+05,1,2017,1952,0
"1-0.3-1e+05-1.25e-08-fleg",0.3,1,"fleg",1.25e-08,1e+05,1,2701,2699,0
"1-0.5-10000-1.25e-07-fleg",0.5,1,"fleg",1.25e-07,10000,1,6000,5998,0
"1-0.5-10000-1.25e-08-fleg",0.5,1,"fleg",1.25e-08,10000,1,7141,7141,0
"1-0.5-1e+05-1.25e-07-fleg",0.5,1,"fleg",1.25e-07,1e+05,1,1184.5,1167.5,0
"1-0.5-1e+05-1.25e-08-fleg",0.5,1,"fleg",1.25e-08,1e+05,1,2391.5,2391.5,0
"1-0.7-10000-1.25e-07-fleg",0.7,1,"fleg",1.25e-07,10000,1,5474,5471,0
"1-0.7-10000-1.25e-08-fleg",0.7,1,"fleg",1.25e-08,10000,1,6847.5,6847.5,0
"1-0.7-1e+05-1.25e-07-fleg",0.7,1,"fleg",1.25e-07,1e+05,1,863.5,761.5,0
"1-0.7-1e+05-1.25e-08-fleg",0.7,1,"fleg",1.25e-08,1e+05,1,2474.5,2438.5,0
"10-0-10000-1.25e-07-fleg",0,10,"fleg",1.25e-07,10000,1,5242.5,5241.5,0
"10-0-10000-1.25e-08-fleg",0,10,"fleg",1.25e-08,10000,1,5793,5792,0
"10-0-1e+05-1.25e-07-fleg",0,10,"fleg",1.25e-07,1e+05,1,2054,2048.5,0
"10-0-1e+05-1.25e-08-fleg",0,10,"fleg",1.25e-08,1e+05,1,2074.5,2032,0
"10-0.15-10000-1.25e-07-fleg",0.15,10,"fleg",1.25e-07,10000,1,5770,5757,0
"10-0.15-10000-1.25e-08-fleg",0.15,10,"fleg",1.25e-08,10000,1,5446.5,5442.5,0
"10-0.15-1e+05-1.25e-07-fleg",0.15,10,"fleg",1.25e-07,1e+05,1,1879.5,1877,0
"10-0.15-1e+05-1.25e-08-fleg",0.15,10,"fleg",1.25e-08,1e+05,1,1980,1966.5,0
"10-0.3-10000-1.25e-07-fleg",0.3,10,"fleg",1.25e-07,10000,1,5473,5471.5,0
"10-0.3-10000-1.25e-08-fleg",0.3,10,"fleg",1.25e-08,10000,1,5526,5472,0
"10-0.3-1e+05-1.25e-07-fleg",0.3,10,"fleg",1.25e-07,1e+05,1,1680,1677,0
"10-0.3-1e+05-1.25e-08-fleg",0.3,10,"fleg",1.25e-08,1e+05,1,1980.5,1927.5,0
"10-0.5-10000-1.25e-07-fleg",0.5,10,"fleg",1.25e-07,10000,1,5296,5280.5,0
"10-0.5-10000-1.25e-08-fleg",0.5,10,"fleg",1.25e-08,10000,1,5332.5,5323.5,0
"10-0.5-1e+05-1.25e-07-fleg",0.5,10,"fleg",1.25e-07,1e+05,1,1348,1287.5,0
"10-0.5-1e+05-1.25e-08-fleg",0.5,10,"fleg",1.25e-08,1e+05,1,2075,2045.5,0
"10-0.7-10000-1.25e-07-fleg",0.7,10,"fleg",1.25e-07,10000,1,4623.5,4623.5,0
"10-0.7-10000-1.25e-08-fleg",0.7,10,"fleg",1.25e-08,10000,1,5666.5,5660.5,0
"10-0.7-1e+05-1.25e-07-fleg",0.7,10,"fleg",1.25e-07,1e+05,1,1033.5,1015.5,0
"10-0.7-1e+05-1.25e-08-fleg",0.7,10,"fleg",1.25e-08,1e+05,1,2018,1963,0
"2-0-10000-1.25e-07-fleg",0,2,"fleg",1.25e-07,10000,1,5777.5,5777,0
