"irep","paramid","h_search","lindist","nind","net","mutrate","nbiallelic","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
1,"1-0-10000-1.25e-07-fleg-pruned",0,0,1,"fleg-pruned",1.25e-07,10000,5,2,FALSE,0,1,0.4,-6.26219337036441
1,"1-0-10000-1.25e-07-fleg-pruned",1,0,1,"fleg-pruned",1.25e-07,10000,145,0,TRUE,0,2,0.8,1.74057982216335
1,"1-0-10000-1.25e-07-fleg-pruned",2,0,1,"fleg-pruned",1.25e-07,10000,2117,2,FALSE,0,2,0.858290033065659,3.87785293046831
1,"1-0-10000-1.25e-08-fleg-pruned",0,0,1,"fleg-pruned",1.25e-08,10000,5,2,FALSE,2,1,0.2,0.0172470255662525
1,"1-0-10000-1.25e-08-fleg-pruned",1,0,1,"fleg-pruned",1.25e-08,10000,163,0,TRUE,0,2,0.693251533742331,4.99748917740023
1,"1-0-10000-1.25e-08-fleg-pruned",2,0,1,"fleg-pruned",1.25e-08,10000,2432,2,FALSE,0,2,0.638980263157895,6.50517297767637
1,"1-0-1e+05-1.25e-07-fleg-pruned",0,0,1,"fleg-pruned",1.25e-07,1e+05,5,2,FALSE,2,1,0.2,-13.4828462802877
1,"1-0-1e+05-1.25e-07-fleg-pruned",1,0,1,"fleg-pruned",1.25e-07,1e+05,14,0,TRUE,0,2,1.21428571428571,0.218969734967331
1,"1-0-1e+05-1.25e-07-fleg-pruned",2,0,1,"fleg-pruned",1.25e-07,1e+05,733,0,TRUE,0,2,1.22919508867667,3.5367010591025
1,"1-0-1e+05-1.25e-08-fleg-pruned",0,0,1,"fleg-pruned",1.25e-08,1e+05,5,2,FALSE,2,1,0.2,-16.4476590048336
1,"1-0-1e+05-1.25e-08-fleg-pruned",1,0,1,"fleg-pruned",1.25e-08,1e+05,9,0,TRUE,0,2,1.33333333333333,3.07600237897326
1,"1-0-1e+05-1.25e-08-fleg-pruned",2,0,1,"fleg-pruned",1.25e-08,1e+05,437,2,FALSE,0,2,1.09610983981693,10.6807319089647
1,"1-0.15-10000-1.25e-07-fleg-pruned",0,0.15,1,"fleg-pruned",1.25e-07,10000,5,2,FALSE,2,1,0.2,-2.28232161404687
