"paramid","h_search","lindist","nind","net","mutrate","nbiallelic","prop_min_nethw_eq_0","prop_min_hashmatch","prop_min_treehw_eq_0","ngraphs","prop_max_ndisp_eq_2"
"1-0-10000-1.25e-07-fleg",0,0,1,"fleg",1.25e-07,10000,0,0,0,514,0
"1-0-10000-1.25e-07-fleg",1,0,1,"fleg",1.25e-07,10000,0,0,0.95,21253,0.9
"1-0-10000-1.25e-07-fleg",4,0,1,"fleg",1.25e-07,10000,0,0,1,717026,1
"1-0-10000-1.25e-08-fleg",0,0,1,"fleg",1.25e-08,10000,0,0,0.01,532,0
"1-0-10000-1.25e-08-fleg",1,0,1,"fleg",1.25e-08,10000,0,0,0.92,21141,0.92
"1-0-10000-1.25e-08-fleg",4,0,1,"fleg",1.25e-08,10000,0,0,1,752393,1
"1-0-1e+05-1.25e-07-fleg",0,0,1,"fleg",1.25e-07,1e+05,0,0,0,500,0
"1-0-1e+05-1.25e-07-fleg",1,0,1,"fleg",1.25e-07,1e+05,0,0,0.25,1202,0.23
"1-0-1e+05-1.25e-07-fleg",4,0,1,"fleg",1.25e-07,1e+05,0.01,0,1,288896,1
"1-0-1e+05-1.25e-08-fleg",0,0,1,"fleg",1.25e-08,1e+05,0,0,0,500,0
"1-0-1e+05-1.25e-08-fleg",1,0,1,"fleg",1.25e-08,1e+05,0,0,0.32,1106,0.3
"1-0-1e+05-1.25e-08-fleg",4,0,1,"fleg",1.25e-08,1e+05,0.01,0,1,274134,1
"1-0.15-10000-1.25e-07-fleg",0,0.15,1,"fleg",1.25e-07,10000,0,0,0.01,514,0
"1-0.15-10000-1.25e-07-fleg",1,0.15,1,"fleg",1.25e-07,10000,0,0,0.83,18499,0.78
"1-0.15-10000-1.25e-07-fleg",4,0.15,1,"fleg",1.25e-07,10000,0,0,1,667737,1
"1-0.15-10000-1.25e-08-fleg",0,0.15,1,"fleg",1.25e-08,10000,0,0,0.01,530,0
"1-0.15-10000-1.25e-08-fleg",1,0.15,1,"fleg",1.25e-08,10000,0,0,0.94,18964,0.9
"1-0.15-10000-1.25e-08-fleg",4,0.15,1,"fleg",1.25e-08,10000,0,0,1,716969,1
"1-0.15-1e+05-1.25e-07-fleg",0,0.15,1,"fleg",1.25e-07,1e+05,0,0,0,500,0
"1-0.15-1e+05-1.25e-07-fleg",1,0.15,1,"fleg",1.25e-07,1e+05,0,0,0.36,1258,0.35
"1-0.15-1e+05-1.25e-07-fleg",4,0.15,1,"fleg",1.25e-07,1e+05,0.01,0,1,262065,1
