"net","h_search","trueh","level","num_dtrees","num_mincyclesize3","gamma","prop_min_nethw_eq_0","prop_min_hashmatch","prop_min_treehw_eq_0","avgngraphsperrep","prop_max_ndisp_eq_2"
"g1-l1-c3","0",1,"1","1","1","large",0,0,1,1,0
"g1-l1-c3","1",1,"1","1","1","large",0,0,0.81,1,0
"g1-l1-c3","2",1,"1","1","1","large",0,0,0.58,1,0.01
"g1-lg","0",1,"1","2","0","large",0,0,1,1,0
"g1-lg","1",1,"1","2","0","large",0.48,0.48,0.88,1,0.48
"g1-lg","2",1,"1","2","0","large",0,0,0.71,1,0.34
"g1-sg","0",1,"1","2","0","small",0,0,0,1,0
"g1-sg","1",1,"1","2","0","small",0.05,0.05,0.12,1,0.05
"g1-sg","2",1,"1","2","0","small",0,0,0.19,1,0.11
"g2-l1-c33","0",2,"1","1","2","large",0,0,1,1,0
"g2-l1-c33","1",2,"1","1","2","large",0,0,0.79,1,0
"g2-l1-c33","2",2,"1","1","2","large",0,0,0.58,1,0.01
"g2-l1-c43","0",2,"1","2","1","large",0,0,1,1,0
"g2-l1-c43","1",2,"1","2","1","large",0,0,0.86,1,0.37
"g2-l1-c43","2",2,"1","2","1","large",0,0,0.73,1,0.3
"g2-l1-c44","0",2,"1","4","0","large",0,0,1,1,0
"g2-l1-c44","1",2,"1","4","0","large",0,0,0.84,1,0.4
"g2-l1-c44","2",2,"1","4","0","large",0,0,0.46,1,0.23
"g2-l1-c45","0",2,"1","4","0","large",0,0,1,1,0
"g2-l1-c45","1",2,"1","4","0","large",0,0,0.98,1,0
"g2-l1-c45","2",2,"1","4","0","large",0.32,0.32,0.84,1,0.66
"g2-l2-g33","0",2,"2","2","2","large",0,0,1,1,0
"g2-l2-g33","1",2,"2","2","2","large",0,0,0.83,1,0.29
"g2-l2-g33","2",2,"2","2","2","large",0,0,0.59,1,0.28
"g2-l2-g46","0",2,"2","4","0","large",0,0,0,1,0
"g2-l2-g46","1",2,"2","4","0","large",0,0,1,1,0
"g2-l2-g46","2",2,"2","4","0","large",0.51,0.51,0.9,1,0.51
"g2-l2-n04","0",2,"2","3","0","large",0,0,0,1,0
"g2-l2-n04","1",2,"2","3","0","large",0,0,0,1,0
"g2-l2-n04","2",2,"2","3","0","large",0,0,0.23,1,0
"g2-l2-n44","0",2,"2","4","0","large",0,0,0,1,0
"g2-l2-n44","1",2,"2","4","0","large",0,0,0.08,1,0
"g2-l2-n44","2",2,"2","4","0","large",0.02,0.02,0.15,1,0.03
"g2-l2-n46","0",2,"2","4","0","large",0,0,0,1,0
"g2-l2-n46","1",2,"2","4","0","large",0,0,0.92,1,0.92
"g2-l2-n46","2",2,"2","4","0","large",0.11,0.11,0.61,1,0.61
"g3-l3-c54","0",3,"3","6","0","large",0,0,0,1,0
"g3-l3-c54","1",3,"3","6","0","large",0,0,0,1,0
"g3-l3-c54","3",3,"3","6","0","large",0,0,0.21,1,0.99
"g3-ntc","0",3,"3","4","1","large",0,0,0,1,0
"g3-ntc","1",3,"3","4","1","large",0,0,1,1,1
"g3-ntc","3",3,"3","4","1","large",0,0,0.19,1,0.46
"g3-tc","0",3,"3","6","2","large",0,0,0,1,0
"g3-tc","1",3,"3","6","2","large",0,0,0,1,0
"g3-tc","3",3,"3","6","2","large",0,0,0.07,1,0.55
"g4-l4-c34","0",4,"4","10","1","large",0,0,0,1,0
"g4-l4-c34","1",4,"4","10","1","large",0,0,0,1,0
"g4-l4-c34","4",4,"4","10","1","large",0,0,0.19,1,0.82
"g4-lg","0",4,"4","8","2","large",0,0,0,1,0
"g4-lg","1",4,"4","8","2","large",0,0,0,1,0
"g4-lg","4",4,"4","8","2","large",0,0,0.09,1,0.6
"g4-sg","0",4,"4","8","2","small",0,0,1,1,0
"g4-sg","1",4,"4","8","2","small",0,0,1,1,0
"g4-sg","4",4,"4","8","2","small",0,0,0.66,1,0.46
