"net","h_search","trueh","level","num_dtrees","num_mincyclesize3","gamma","prop_min_nethw_eq_0","prop_min_hashmatch","prop_min_treehw_eq_0","avgngraphsperrep","prop_max_ndisp_eq_2"
"g1-l1-c3","0",1,"1","1","1","large",0,0,1,5,0
"g1-l1-c3","1",1,"1","1","1","large",0.25,0.25,1,50.54,0.4
"g1-l1-c3","2",1,"1","1","1","large",0,0,1,449.16,0.84
"g1-lg","0",1,"1","2","0","large",0,0,1,5,0
"g1-lg","1",1,"1","2","0","large",0.99,0.99,1,8.96,0.99
"g1-lg","2",1,"1","2","0","large",0.1,0.1,0.99,186.65,0.97
"g1-sg","0",1,"1","2","0","small",0,0,0,5,0
"g1-sg","1",1,"1","2","0","small",0.61,0.61,0.66,43.85,0.61
"g1-sg","2",1,"1","2","0","small",0.05,0.05,0.92,459.84,0.89
"g2-l1-c33","0",2,"1","1","2","large",0,0,1,5,0
"g2-l1-c33","1",2,"1","1","2","large",0,0,1,51.94,0.4
"g2-l1-c33","2",2,"1","1","2","large",0,0,1,565.84,0.83
"g2-l1-c43","0",2,"1","2","1","large",0,0,1,5,0
"g2-l1-c43","1",2,"1","2","1","large",0,0,1,8.4,0.98
"g2-l1-c43","2",2,"1","2","1","large",0.06,0.06,0.99,193.75,0.94
"g2-l1-c44","0",2,"1","4","0","large",0,0,1,5,0
"g2-l1-c44","1",2,"1","4","0","large",0,0,1,8.9,0.86
"g2-l1-c44","2",2,"1","4","0","large",0.47,0.47,0.92,62.25,0.86
"g2-l1-c45","0",2,"1","4","0","large",0,0,1,5,0
"g2-l1-c45","1",2,"1","4","0","large",0,0,1,5.09,0
"g2-l1-c45","2",2,"1","4","0","large",0.95,0.95,0.99,15.66,0.97
"g2-l2-g33","0",2,"2","2","2","large",0,0,1,5,0
"g2-l2-g33","1",2,"2","2","2","large",0,0,1,13.99,0.95
"g2-l2-g33","2",2,"2","2","2","large",0.11,0.11,0.99,232.85,0.97
"g2-l2-g46","0",2,"2","4","0","large",0,0,0,5,0
"g2-l2-g46","1",2,"2","4","0","large",0,0,1,5,0
"g2-l2-g46","2",2,"2","4","0","large",1,1,1,9.83,1
"g2-l2-n04","0",2,"2","3","0","large",0,0,0,5,0
"g2-l2-n04","1",2,"2","3","0","large",0,0,0,5,0
"g2-l2-n04","2",2,"2","3","0","large",0.63,0.63,0.87,30.35,0.66
"g2-l2-n44","0",2,"2","4","0","large",0,0,0.99,5,0
"g2-l2-n44","1",2,"2","4","0","large",0,0,0.91,5.17,0.39
"g2-l2-n44","2",2,"2","4","0","large",0.82,0.82,0.94,14.52,0.87
"g2-l2-n46","0",2,"2","4","0","large",0,0,0,5,0
"g2-l2-n46","1",2,"2","4","0","large",0,0,1,5,1
"g2-l2-n46","2",2,"2","4","0","large",0.93,0.93,0.99,12.27,0.99
"g3-l3-c54","0",3,"3","6","0","large",0,0,0,5,0
"g3-l3-c54","1",3,"3","6","0","large",0,0,0,5,0
"g3-l3-c54","3",3,"3","6","0","large",0.63,0.52,0.76,28.44,0.37
"g3-ntc","0",3,"3","4","1","large",0,0,0,5,0
"g3-ntc","1",3,"3","4","1","large",0,0,1,5,1
"g3-ntc","3",3,"3","4","1","large",0.28,0.15,0.84,80,0.04
"g3-tc","0",3,"3","6","2","large",0,0,0,5,0
"g3-tc","1",3,"3","6","2","large",0,0,0,5.06,0.21
"g3-tc","3",3,"3","6","2","large",0.17,0.13,0.89,175.8,0.26
"g4-l4-c34","0",4,"4","10","1","large",0,0,0,5,0
"g4-l4-c34","1",4,"4","10","1","large",0,0,0,5,0
"g4-l4-c34","4",4,"4","10","1","large",0.11,0.05,0.83,111.51,0.23
"g4-lg","0",4,"4","8","2","large",0,0,0,5,0
"g4-lg","1",4,"4","8","2","large",0,0,0,5,0
"g4-lg","4",4,"4","8","2","large",0.03,0.01,0.8,159.5,0.26
"g4-sg","0",4,"4","8","2","small",0,0,1,5,0
"g4-sg","1",4,"4","8","2","small",0,0,1,5,0
"g4-sg","4",4,"4","8","2","small",0.01,0,0.99,483.42,0.99
