"net","h_search","trueh","level","num_dtrees","num_mincyclesize3","gamma","prop_min_nethw_eq_0","prop_min_hashmatch","prop_min_treehw_eq_0","avgngraphsperrep","prop_max_ndisp_eq_2"
"g1-l1-c3","0",1,"1","1","1","large",0,0,1,5,0
"g1-l1-c3","1",1,"1","1","1","large",0.86,0.86,1,118.91,0.98
"g1-l1-c3","2",1,"1","1","1","large",0.03,0.03,1,2102.6,1
"g1-lg","0",1,"1","2","0","large",0,0,1,5,0
"g1-lg","1",1,"1","2","0","large",1,1,1,27,1
"g1-lg","2",1,"1","2","0","large",0.23,0.23,1,702.43,1
"g1-sg","0",1,"1","2","0","small",0,0,0,5,0
"g1-sg","1",1,"1","2","0","small",1,1,1,119.04,1
"g1-sg","2",1,"1","2","0","small",0.16,0.16,1,2042.57,1
"g2-l1-c33","0",2,"1","1","2","large",0,0,1,5,0
"g2-l1-c33","1",2,"1","1","2","large",0,0,1,121.71,0.99
"g2-l1-c33","2",2,"1","1","2","large",0.06,0.06,1,2072.4,1
"g2-l1-c43","0",2,"1","2","1","large",0,0,1,5,0
"g2-l1-c43","1",2,"1","2","1","large",0,0,1,17.54,1
"g2-l1-c43","2",2,"1","2","1","large",0.35,0.35,1,667.38,1
"g2-l1-c44","0",2,"1","4","0","large",0,0,1,5,0
"g2-l1-c44","1",2,"1","4","0","large",0,0,1,18.81,0.98
"g2-l1-c44","2",2,"1","4","0","large",0.98,0.98,1,385.35,1
"g2-l1-c45","0",2,"1","4","0","large",0,0,1,5,0
"g2-l1-c45","1",2,"1","4","0","large",0,0,1,5.73,0
"g2-l1-c45","2",2,"1","4","0","large",1,1,1,71.12,1
"g2-l2-g33","0",2,"2","2","2","large",0,0,1,5,0
"g2-l2-g33","1",2,"2","2","2","large",0,0,1,67.97,1
"g2-l2-g33","2",2,"2","2","2","large",0.37,0.32,1,1190.73,1
"g2-l2-g46","0",2,"2","4","0","large",0,0,0,5.04,0
"g2-l2-g46","1",2,"2","4","0","large",0,0,1,5,0
"g2-l2-g46","2",2,"2","4","0","large",1,1,1,26.89,1
"g2-l2-n04","0",2,"2","3","0","large",0,0,0,5,0
"g2-l2-n04","1",2,"2","3","0","large",0,0,0,5,0
"g2-l2-n04","2",2,"2","3","0","large",0.99,0.98,0.99,178.27,0.99
"g2-l2-n44","0",2,"2","4","0","large",0,0,0.99,5,0
"g2-l2-n44","1",2,"2","4","0","large",0,0,0.92,7.73,0.56
"g2-l2-n44","2",2,"2","4","0","large",0.99,0.99,1,59.07,1
"g2-l2-n46","0",2,"2","4","0","large",0,0,0,5,0
"g2-l2-n46","1",2,"2","4","0","large",0,0,1,5,1
"g2-l2-n46","2",2,"2","4","0","large",0.99,0.99,1,47.28,1
"g3-l3-c54","0",3,"3","6","0","large",0,0,0,5,0
"g3-l3-c54","1",3,"3","6","0","large",0,0,0,5,0
"g3-l3-c54","3",3,"3","6","0","large",0.98,0.81,1,127.41,0.01
"g3-ntc","0",3,"3","4","1","large",0,0,0,5,0
"g3-ntc","1",3,"3","4","1","large",0,0,1,5,1
"g3-ntc","3",3,"3","4","1","large",0.67,0.39,1,338.42,0
"g3-tc","0",3,"3","6","2","large",0,0,0,5.04,0
"g3-tc","1",3,"3","6","2","large",0,0,0,6.23,0.3
"g3-tc","3",3,"3","6","2","large",0.42,0.28,1,964.95,0
"g4-l4-c34","0",4,"4","10","1","large",0,0,0,5,0
"g4-l4-c34","1",4,"4","10","1","large",0,0,0,5.08,0
"g4-l4-c34","4",4,"4","10","1","large",0.24,0.09,1,384.29,0
"g4-lg","0",4,"4","8","2","large",0,0,0,5,0
"g4-lg","1",4,"4","8","2","large",0,0,0,5,0
"g4-lg","4",4,"4","8","2","large",0.1,0.02,1,1021.02,0.01
"g4-sg","0",4,"4","8","2","small",0,0,1,5,0
"g4-sg","1",4,"4","8","2","small",0,0,1,5.26,0
"g4-sg","4",4,"4","8","2","small",0.05,0,1,2054.29,1
