irep,irun,h_search,time
1,1,0,1.3427979667981467
1,2,0,2.046024000644684
1,3,0,3.497557532787323
1,4,0,2.365966268380483
1,5,0,1.6679702798525493
1,6,0,2.252584131558736
1,7,0,2.86030611594518
1,8,0,2.473904780546824
1,9,0,2.817870585123698
1,10,0,3.509340067704519
1,11,0,4.239139199256897
1,12,0,4.024471950531006
1,13,0,1.9088115493456523
1,14,0,1.9521787484486899
1,15,0,2.0514224131902057
1,16,0,2.107593333721161
1,17,0,1.8948387503623962
1,18,0,2.953043516476949
1,19,0,3.2007450819015504
1,20,0,2.9845014810562134
1,21,0,4.052981479962667
1,22,0,4.665334451198578
1,23,0,1.8711211323738097
1,24,0,2.2112621823946634
1,25,0,2.7180657823880514
1,26,0,2.3585675319035846
1,27,0,2.061155883471171
1,28,0,3.011650633811951
1,29,0,2.760231033960978
1,30,0,3.749564250310262
1,31,0,2.7239523490269977
1,32,0,3.9146155675252277
1,33,0,2.281243880589803
1,34,0,2.187899883588155
1,35,0,2.6304681658744813
1,36,0,2.5898474852244058
1,37,0,2.6377211689949034
1,38,0,2.857792830467224
1,39,0,3.1312061150868735
1,40,0,2.9703276991844176
1,41,0,5.253582986195882
1,42,0,4.029716769854228
1,43,0,2.011053717136383
1,44,0,1.9461225509643554
1,45,0,1.9945584495862325
1,46,0,2.2288462003072103
1,47,0,1.699663551648458
1,48,0,2.232768249511719
1,49,0,2.5306005517641705
1,50,0,2.71984220345815
1,1,1,9.84676429828008
1,2,1,28.776875416437786
1,3,1,23.91786426703135
1,4,1,10.184087216854095
1,5,1,17.20422786474228
1,6,1,3.941646897792816
1,7,1,9.812046432495118
1,8,1,20.469928769270577
1,9,1,20.78868581453959
1,10,1,13.082717299461365
1,11,1,15.842185501257578
1,12,1,7.578082617123922
1,13,1,7.111464118957519
1,14,1,12.191851369539897
1,15,1,10.334824200471243
1,16,1,10.43377654949824
1,17,1,14.690347747008007
1,18,1,10.444069250424702
1,19,1,9.885665301481882
1,20,1,11.355026765664418
1,21,1,8.461464333534241
1,22,1,11.013866933186849
1,23,1,12.470573365688324
1,24,1,8.582663714885712
1,25,1,13.688185250759124
1,26,1,14.522449266910552
1,27,1,24.458402383327485
1,28,1,39.09258060057958
1,29,1,5.226822932561238
1,30,1,13.83218541542689
1,31,1,6.11242341597875
1,32,1,6.096121199925741
1,33,1,11.739557266235352
1,34,1,8.90806473493576
1,35,1,8.785106333096822
1,36,1,13.044331085681915
1,37,1,24.03534414768219
1,38,1,9.4412047346433
1,39,1,10.696132981777192
1,40,1,10.27873899936676
1,41,1,9.735874179999033
1,42,1,6.9378540992736815
1,43,1,9.898973949750264
1,44,1,11.104580982526143
1,45,1,28.675083951155344
1,46,1,12.700302151838939
1,47,1,8.908321849505107
1,48,1,9.800058885415394
1,49,1,6.307161398728689
1,50,1,23.06689471801122
1,1,4,261.86728061437606
1,2,4,143.91974327961603
1,3,4,279.4561048825582
1,4,4,92.59961898326874
1,5,4,46.55964586734772
1,6,4,18.81412751674652
1,7,4,105.6303985317548
1,8,4,101.86390046676
