"","id","title","cited_by_count","publication_date","source_display_name","type"
"1","https://openalex.org/W2166214412","Ancient Admixture in Human History",2698,2012-09-08,"Genetics","article"
"2","https://openalex.org/W2504121104","Genomic insights into the origin of farming in the ancient Near East",931,2016-07-25,"Nature","article"
"3","https://openalex.org/W2949385499","The genomic history of southeastern Europe",667,2018-02-21,"Nature","article"
"4","https://openalex.org/W2982348757","Genomic architecture and introgression shape a butterfly radiation",524,2019-10-31,"Science","article"
"5","https://openalex.org/W2871523635","The prehistoric peopling of Southeast Asia",487,2018-07-05,"Science","article"
"6","https://openalex.org/W2801666179","The first horse herders and the impact of early Bronze Age steppe expansions into Asia",402,2018-05-09,"Science","article"
"7","https://openalex.org/W2897031614","The population history of northeastern Siberia since the Pleistocene",345,2019-06-05,"Nature","article"
"8","https://openalex.org/W3097237895","High-depth African genomes inform human migration and health",304,2020-10-28,"Nature","article"
"9","https://openalex.org/W2948468078","Palaeo-Eskimo genetic ancestry and the peopling of Chukotka and North America",234,2019-06-01,"Nature","article"
"10","https://openalex.org/W2791986603","Language continuity despite population replacement in Remote Oceania",228,2018-02-26,"Nature Ecology & Evolution","article"
"11","https://openalex.org/W2763004018","40,000-Year-Old Individual from Asia Provides Insight into Early Population Structure in Eurasia",226,2017-10-01,"Current Biology","article"
"12","https://openalex.org/W2814801426","Ancient goat genomes reveal mosaic domestication in the Fertile Crescent",198,2018-07-05,"Science","article"
"13","https://openalex.org/W3138265706","Multiple migrations to the Philippines during the last 50,000 years",176,2021-03-22,"Proceedings of the National Academy of Sciences","article"
"14","https://openalex.org/W2897736354","Interspecific Gene Flow Shaped the Evolution of the Genus Canis",151,2018-10-18,"Current Biology","article"
"15","https://openalex.org/W2889801973","Genes reveal traces of common recent demographic history for most of the Uralic-speaking populations",149,2018-09-21,"Genome biology","article"
"16","https://openalex.org/W4213456315","Ancient DNA and deep population structure in sub-Saharan African foragers",142,2022-02-23,"Nature","article"
"17","https://openalex.org/W2788231402","Origins and genetic legacies of the Caribbean Taino",121,2018-02-20,"Proceedings of the National Academy of Sciences","article"
"18","https://openalex.org/W2952042040","The origins and adaptation of European potatoes reconstructed from historical genomes",121,2019-06-24,"Nature Ecology & Evolution","article"
"19","https://openalex.org/W2946906865","Late Jomon male and female genome sequences from the Funadomari site in Hokkaido, Japan",116,2019-01-01,"Anthropological Science","article"
"20","https://openalex.org/W4283750033","Grey wolf genomic history reveals a dual ancestry of dogs",115,2022-06-29,"Nature","article"
"21","https://openalex.org/W3019171991","Extensive Ethnolinguistic Diversity in Vietnam Reflects Multiple Sources of Genetic Diversity",98,2020-04-12,"Molecular Biology and Evolution","article"
"22","https://openalex.org/W3139311264","Archaeogenomic distinctiveness of the Isthmo-Colombian area",91,2021-03-23,"Cell","article"
"23","https://openalex.org/W3216038026","<i>f</i>‐Statistics estimation and admixture graph construction with Pool‐Seq or allele count data using the R package <i>poolfstat</i>",84,2021-11-27,"Molecular Ecology Resources","article"
"24","https://openalex.org/W2924502569","Dissecting the Pre-Columbian Genomic Ancestry of Native Americans along the Andes–Amazonia Divide",83,2019-03-19,"Molecular Biology and Evolution","article"
"25","https://openalex.org/W3169416980","Herded and hunted goat genomes from the dawn of domestication in the Zagros Mountains",82,2021-06-07,"Proceedings of the National Academy of Sciences","article"
"26","https://openalex.org/W2585558077","admixturegraph: an R package for admixture graph manipulation and fitting",80,2017-01-30,"Bioinformatics","article"
"27","https://openalex.org/W2794635543","The Genomic Formation of South and Central Asia",80,2018-03-31,"bioRxiv (Cold Spring Harbor Laboratory)","preprint"
"28","https://openalex.org/W2998792143","Genomic insight into the origins and dispersal of the Brazilian coastal natives",78,2020-01-13,"Proceedings of the National Academy of Sciences","article"
"29","https://openalex.org/W3154785933","Environmental genomics of Late Pleistocene black bears and giant short-faced bears",70,2021-04-20,"Current Biology","article"
"30","https://openalex.org/W3190402820","Papua New Guinean Genomes Reveal the Complex Settlement of North Sahul",68,2021-08-11,"Molecular Biology and Evolution","article"
"31","https://openalex.org/W4206818832","Extensive ethnolinguistic diversity at the crossroads of North China and South Siberia reflects multiple sources of genetic diversity",64,2022-01-09,"Journal of Systematics and Evolution","article"
"32","https://openalex.org/W4283726852","Genomic Insights Into the Demographic History of the Southern Chinese",61,2022-06-30,"Frontiers in Ecology and Evolution","article"
"33","https://openalex.org/W2952116276","Population Turnover in Remote Oceania Shortly After Initial Settlement",59,2018-02-19,"bioRxiv (Cold Spring Harbor Laboratory)","preprint"
"34","https://openalex.org/W4379390104","The genetic history of the Southern Andes from present-day Mapuche ancestry",56,2023-06-05,"Current Biology","article"
"35","https://openalex.org/W2613592827","The Genomic History Of Southeastern Europe",56,2017-05-09,"bioRxiv (Cold Spring Harbor Laboratory)","preprint"
"36","https://openalex.org/W2942615264","Genomic analysis on pygmy hog reveals extensive interbreeding during wild boar expansion",53,2019-04-30,"Nature Communications","article"
"37","https://openalex.org/W2993826846","Population history and genetic adaptation of the Fulani nomads: inferences from genome-wide data and the lactase persistence trait",53,2019-12-01,"BMC Genomics","article"
"38","https://openalex.org/W4295083812","The genomic history and global expansion of domestic donkeys",51,2022-09-08,"Science","article"
"39","https://openalex.org/W2953010927","The genetic legacy of continental scale admixture in Indian Austroasiatic speakers",48,2019-03-07,"Scientific Reports","article"
"40","https://openalex.org/W3046252846","Ancient genomes in South Patagonia reveal population movements associated with technological shifts and geography",47,2020-08-03,"Nature Communications","article"
"41","https://openalex.org/W4311961946","Interpreting mismatches between linguistic and genetic patterns among speakers of Tanimuka (Eastern Tukanoan) and Yukuna (Arawakan)",45,2022-12-09,"Interface Focus","article"
"42","https://openalex.org/W3032565533","A genetic history of the pre-contact Caribbean",43,2020-06-01,"bioRxiv (Cold Spring Harbor Laboratory)","preprint"
"43","https://openalex.org/W4379769074","Northwest African Neolithic initiated by migrants from Iberia and Levant",41,2023-06-07,"Nature","article"
"44","https://openalex.org/W3093292550","Three Phases of Ancient Migration Shaped the Ancestry of Human Populations in Vanuatu",41,2020-10-15,"Current Biology","article"
"45","https://openalex.org/W3154273333","Early Alpine occupation backdates westward human migration in Late Glacial Europe",37,2021-04-21,"Current Biology","article"
"46","https://openalex.org/W3096264026","Exome Sequencing of Native Populations From the Amazon Reveals Patterns on the Peopling of South America",35,2020-10-29,"Frontiers in Genetics","article"
"47","https://openalex.org/W4225554954","Genetics and Material Culture Support Repeated Expansions into Paleolithic Eurasia from a Population Hub Out of Africa",33,2022-03-29,"Genome Biology and Evolution","article"
"48","https://openalex.org/W4245398289","The Genomic Formation of Human Populations in East Asia",33,2020-03-25,"bioRxiv (Cold Spring Harbor Laboratory)","preprint"
"49","https://openalex.org/W4212824516","Indian genetic heritage in Southeast Asian populations",31,2022-02-17,"PLoS Genetics","article"
"50","https://openalex.org/W4385700448","Genetic continuity, isolation, and gene flow in Stone Age Central and Eastern Europe",29,2023-08-09,"Communications Biology","article"
"51","https://openalex.org/W3175336776","Genomic Insights Into the Admixture History of Mongolic- and Tungusic-Speaking Populations From Southwestern East Asia",29,2021-06-22,"Frontiers in Genetics","article"
"52","https://openalex.org/W4220948723","Genomic Insights Into the Population History and Biological Adaptation of Southwestern Chinese Hmong–Mien People",27,2022-01-03,"Frontiers in Genetics","article"
"53","https://openalex.org/W3013749175","The Origin and Composition of Korean Ethnicity Analyzed by Ancient and Present-Day Genome Sequences",26,2020-03-23,"Genome Biology and Evolution","article"
